job_title,company_name,company_location,workplace_type,post_date,applicants,job_type,experience,company_size,industry
Junior Research Group Leader in Machine Learning (m/f/d),Munich Center for Machine Learning, Bavaria,On-site,1 week ago,5,Part-time , Entry level,medium, Research Services
Corporate Academy Student (m/w/d) - Business Intelligence / Data Warehousing,Scalefree, Lower Saxony,On-site,4 weeks ago,2,Part-time , Internship,medium, IT Services and IT Consulting
PhD Student in AI for Molecular Diagnostics (w/m/d),Leipzig University, Saxony,On-site,2 weeks ago,36,Internship , Internship,large, Higher Education
Senior Controller (m/w/x),Medicover Deutschland, Berlin,On-site,5 days ago,0,Full-time , Director,medium, Hospitals and Health Care
Business Intelligence Working Student,happyglam, Berlin,On-site,2 days ago,63,Part-time , Internship,small, Personal Care Product Manufacturing
Werkstudent (m/w/d) Data Engineering / Data Science,abl solutions GmbH, Bavaria,On-site,1 month ago,32,Internship , Internship,medium, IT Services and IT Consulting
Team Lead Data Management/Data Science Lithium lon Battery Cell Testing (all genders),PowerCo SE, Lower Saxony,Hybrid,1 month ago,0,Full-time , Mid-Senior level,medium, Motor Vehicle Manufacturing
Bachelorand/Masterand (m/w/d),VARTA AG, Bavaria,Hybrid,1 month ago,0,Full-time , Internship,large," Appliances, Electrical, and Electronics Manufacturing"
Werkstudent Data Science (m/w/d),CEWE Stiftung & Co. KGaA, Lower Saxony,On-site,6 days ago,1,Internship , Internship,large, Printing Services
Data Science Engineer (m/w/d),Teva Pharmaceuticals, Baden-Württemberg,On-site,3 weeks ago,20,Full-time , Entry level,large, Pharmaceutical Manufacturing
Data Analyst (m/w/d) Zentraler Einkauf,DMG MORI AKTIENGESELLSCHAFT, North Rhine-Westphalia,On-site,2 weeks ago,6,Full-time , Entry level,medium, Machinery Manufacturing
DeFi Researcher/Business Analyst,Uplift People Consulting, Berlin,Remote,2 weeks ago,0,Full-time , Mid-Senior level,small, Staffing and Recruiting
2 Junior Research Group Leader at ScaDS.AI (Centre for Scalable Data Analytics and Artificial Intelligence) Dresden/Leipzig (m/f/d),Leipzig University, Saxony,On-site,3 weeks ago,7,Contract , Mid-Senior level,large, Higher Education
"Research Associate, Institute of Manufacturing Science and Engineering",Technische Universität Dresden, Saxony,On-site,3 weeks ago,13,Contract , Mid-Senior level,large, Research
Praktikant im Bereich Vehicle Connectivity Data Science (w/m/x),BMW Group, Bavaria,On-site,3 weeks ago,8,Full-time , Internship,large, Motor Vehicle Manufacturing
Social Media Data Engineer (m/w/d),ProTechnology, Saxony,Hybrid,2 days ago,2,Full-time , Entry level,small, Software Development
Internship Business Intelligence (m/w/d),Advantest, Baden-Württemberg,Hybrid,3 weeks ago,1,Internship , Internship,large, Semiconductor Manufacturing
Data Scientist Experienced in Generative AI,Datasumi, North Rhine-Westphalia,On-site,1 month ago,148,Full-time , Mid-Senior level,small, Information Services
